,Actual
624,2731.3990458999483
625,2735.1574265085096
626,2728.3923414130995
627,2720.62502148874
628,2709.3498796630565
629,2718.119434416366
630,2693.3141223998628
631,2707.8465274196324
632,2666.5043407254598
633,2674.7727780642945
634,2658.486462093863
635,2664.750429774798
636,2676.0255716004813
637,2667.506575554409
638,2658.486462093863
639,2667.256016847172
640,2681.287304452467
641,2705.0903816400205
642,2731.148487192711
643,2740.6697180677324
644,2722.8800498538762
645,2742.924746432869
646,2748.1864792848546
647,2745.1797747980063
648,2761.2155320611996
649,2762.21776689015
650,2753.1976534296027
651,2749.9403902355166
652,2753.44821213684
653,2763.4705604263368
654,2788.7769898573147
655,2782.763580883617
656,2764.222236548049
657,2748.437037992092
658,2763.4705604263368
659,2761.967208182912
660,2773.2423500085956
661,2785.0186092487534
662,2795.5420749527248
663,2804.5621884132715
664,2807.0677754856456
665,2803.3093948770843
666,2778.2535241533433
667,2772.2401151796457
668,2786.7725201994153
669,2765.7255887914735
670,2787.7747550283652
671,2799.551014268523
672,2806.316099363933
673,2811.577832215919
674,2810.575597386969
675,2802.307160048135
676,2821.600180505415
677,2842.6471119133575
678,2842.6471119133575
679,2862.6918084923504
680,2845.6538164002063
681,2846.154933814681
682,2854.1728124462784
683,2840.3920835482204
684,2833.125881038336
685,2826.360795942926
686,2817.591241189617
687,2825.859678528451
688,2835.3809094034727
689,2837.8864964758463
690,2847.1571686436305
691,2851.4166666666665
692,2834.879791988998
693,2853.9222537390406
694,2856.92895822589
695,2877.7253309265943
696,2876.723096097645
697,2865.949071686436
698,2862.4412497851126
699,2858.1817517620766
700,2859.434545298264
701,2857.9311930548392
702,2864.445719443012
703,2868.45465875881
704,2869.7074522949974
705,2842.1459944988824
706,2831.1214113804367
707,2833.125881038336
708,2827.3630307718754
709,2745.430333505243
710,2685.2962437682654
711,2710.602673199244
712,2704.3387055183084
713,2753.1976534296027
714,2744.9292160907685
715,2711.1037906137185
716,2717.1171995874165
717,2702.0836771531717
718,2684.7951263537907
719,2618.647627643115
720,2650.218024755028
721,2588.079465360151
722,2546.9878373732167
723,2616.8937166924534
724,2659.2381382155754
725,2681.7884218669415
726,2662.745960116899
727,2677.027806429431
728,2686.5490373044527
729,2748.938155406567
730,2741.671952896682
731,2730.1462523637615
732,2675.023336771532
733,2663.9987536530857
734,2649.9674660477913
735,2666.003223310985
736,2683.041215403129
737,2628.1688585181364
738,2586.3255544094895
739,2591.0861698470003
740,2573.0459429259067
741,2568.7864449028707
742,2612.38365996218
743,2621.153214715489
744,2678.781717380093
745,2687.050154718927
746,2698.325296544611
747,2730.6473697782367
748,2642.701263537906
749,2625.913830153
750,2578.3076757778927
751,2584.32108475159
752,2585.573878287777
753,2605.61857486677
754,2593.5917569193743
755,2534.7104607185834
756,2476.07972322503
757,2486.1020715145264
758,2440.2498280900804
759,2401.413228468283
760,2353.8070740931753
761,2277.8877858002406
762,2390.889762764312
763,2416.947868317002
764,2413.189487708441
765,2438.495917139419
766,2431.9813907512466
767,2388.1336169847
768,2464.8045813993467
769,2489.8604521230877
770,2510.9073835310296
771,2522.683642771188
772,2533.9587845968713
773,2531.2026388172594
774,2520.4286144060516
775,2545.484485129792
776,2555.5068334192883
777,2569.538121024583
778,2605.117457452295
779,2599.6051658930724
780,2562.2719185146984
781,2573.0459429259067
782,2573.797619047619
783,2599.3546071858345
784,2573.797619047619
785,2575.3009712910434
786,2613.3858947911294
787,2634.1822674918344
788,2639.6945590510572
789,2653.725846656352
790,2671.515514870208
791,2666.754899432697
792,2637.4395306859205
793,2634.683384906309
794,2643.202380952381
795,2679.5333935018048
796,2693.063563692625
797,2687.8018308406395
798,2709.099320955819
799,2714.8621712222794
800,2721.877815024927
801,2722.8800498538762
802,2704.589264225546
803,2725.8867543407255
804,2736.9113374591716
805,2734.4057503867975
806,2727.6406652913874
807,2723.631725975589
808,2742.924746432869
809,2727.39010658415
810,2731.3990458999483
811,2712.1060254426684
812,2682.038980574179
813,2673.0188671136325
814,2718.119434416366
815,2730.396811070999
816,2750.190948942754
817,2747.6853618703803
818,2759.962738525013
819,2769.4839694000343
820,2761.4660907684374
821,2763.2200017190994
822,2796.0431923671995
823,2740.1686006532577
824,2735.909102630222
825,2745.6808922124806
826,2744.9292160907685
827,2751.443742478941
828,2766.9783823276603
829,2800.8038078047102
830,2804.311629706034
831,2807.318334192883
832,2812.5800670448684
833,2826.8619133574007
834,2828.6158243080627
835,2813.5823018738183
836,2823.6046501633145
837,2822.10129791989
838,2841.895435791645
839,2838.8887313047967
840,2838.8887313047967
841,2837.635937768609
842,2839.890966133746
843,2841.895435791645
844,2866.199630393674
845,2867.2018652226234
846,2865.4479542719614
847,2870.45912841671
848,2878.9781244627816
849,2874.969185146983
850,2866.700747808148
851,2847.1571686436305
852,2877.22421351212
853,2865.6985129791988
854,2803.810512291559
855,2822.10129791989
856,2801.5554839264228
857,2809.072245143545
858,2738.9158071170705
859,2771.738997765171
860,2786.7725201994153
861,2805.3138645349836
862,2794.5398401237753
863,2772.741232594121
864,2797.546544610624
865,2792.2848117586386
866,2746.68312704143
867,2760.21329723225
868,2762.9694430118616
869,2735.1574265085096
870,2717.1171995874165
871,2719.6227866597906
872,2683.792891524841
873,2666.754899432697
874,2727.1395478769123
875,2753.44821213684
876,2778.0029654461064
877,2808.070010314595
878,2821.349621798178
879,2817.841799896854
880,2809.3228038507823
881,2818.0923586040913
882,2823.6046501633145
883,2823.1035327488394
884,2851.166107959429
885,2860.4367801272133
886,2886.9960030943785
887,2889.5015901667525
888,2880.2309179989684
889,2850.915549252192
890,2849.6627557160045
891,2858.682869176552
892,2864.9468368574867
893,2893.510529482551
894,2897.770027505587
895,2928.5887484957884
896,2929.841542031975
897,2919.3180763280043
898,2908.042934502321
899,2907.541817087846
900,2924.5798091799898
901,2927.085396252364
902,2942.8705948083207
903,2944.3739470517453
904,2938.360538078047
905,2919.3180763280043
906,2923.076456936565
907,2917.313606670105
908,2913.5552260615436
909,2934.3515987622486
910,2947.3806515385936
911,2932.848246518824
912,2955.8996475846657
913,2950.8884734399176
914,2938.360538078047
915,2921.573104693141
916,2886.745444387141
917,2863.9446020285372
918,2776.4996132026818
919,2807.5688929001203
920,2814.0834192882926
921,2864.445719443012
922,2857.9311930548392
923,2810.575597386969
924,2852.920018910091
925,2772.4906738868835
926,2778.2535241533433
927,2817.841799896854
928,2856.4278408114146
929,2836.132585525185
930,2851.6672253739043
931,2855.425605982465
932,2774.74570225202
933,2794.0387227093
934,2798.7993381468114
935,2812.5800670448684
936,2851.6672253739043
937,2848.9110795942925
938,2826.1102372356886
939,2831.371970087674
940,2864.6962781502493
941,2906.2890235516593
942,2908.293493209558
943,2905.5373474299467
944,2897.5194687983494
945,2923.327015643803
946,2943.121153515558
947,2936.8571858346227
948,2925.582044008939
949,2933.349363933299
950,2935.103274883961
951,2936.6066271273853
952,2923.076456936565
953,2922.825898229328
954,2889.000472752278
955,2914.808019597731
956,2907.7923757950834
957,2884.239857314767
958,2906.0384648444215
959,2869.958011002235
960,2817.340682482379
961,2828.8663830153
962,2873.9669503180335
963,2867.4524239298607
964,2825.3585611139765
965,2844.401022864019
966,2861.4390149561627
967,2907.0406996733714
968,2891.506059824652
969,2922.5753395220904
970,2913.8057847687815
971,2924.830367887227
972,2916.3113718411555
973,2931.3448942754
974,2925.331485301702
975,2925.832602716177
976,2933.0988052260614
977,2947.631210245831
978,2964.9197610452125
979,2960.6602630221764
980,2968.9287003610107
981,2955.6490888774283
982,2987.7206034038163
983,3000.7496561801618
984,3001.751891009111
985,2997.492392986075
986,3005.259712910435
987,3014.5303850782193
988,3009.5192109334707
989,3014.780943785456
990,3020.0426766374417
991,3021.5460288808663
992,3040.0873732164346
993,3044.8479886539453
994,3047.854693140794
995,3032.5706119993124
996,3029.313348805226
997,3034.073964242737
998,3056.123130479629
999,3064.1410091112257
1000,3077.921738009283
1001,3076.418385765859
1002,3069.9038593776863
1003,3045.850223482895
1004,3014.5303850782193
1005,3041.590725459859
1006,3044.8479886539453
1007,3075.6667096441465
1008,3065.143243940175
1009,3057.877041430291
1010,3066.3960374763624
1011,3095.961964930377
1012,3096.7136410520884
1013,3120.76727694688
1014,3120.76727694688
1015,3124.024540140966
1016,3131.0401839436136
1017,3148.579293450232
1018,3149.832086986419
1019,3150.0826456936566
1020,3161.1072288121027
1021,3162.610581055527
1022,3146.073706377858
1023,3151.084880522606
1024,3174.6373990029224
1025,3161.1072288121027
1026,3165.1161681279013
1027,3164.364492006189
1028,3187.6664517792674
1029,3196.4360065325773
1030,3186.9147756575553
1031,3208.212265772735
1032,3207.7111483582603
1033,3208.462824479973
1034,3237.026517105037
1035,3248.802776345195
1036,3249.0533350524324
1037,3245.545513151109
1038,3245.2949544438716
1039,3247.5499828090083
1040,3211.469528966821
1041,3169.375666150937
1042,3203.7022090424616
1043,3201.9482980918
1044,3199.9438284339008
1045,3145.572588963383
1046,3173.635164173973
1047,3222.24355337803
1048,3256.5700962695546
1049,3267.0935619735255
1050,3253.5633917827063
1051,3269.8497077531374
1052,3283.3798779439576
1053,3302.171780986763
1054,3296.65948942754
1055,3298.6639590854393
1056,3311.9435705690216
1057,3295.1561371841153
1058,3311.4424531545474
1059,3296.4089307203026
1060,3255.06674402613
1061,3156.8477307890666
1062,3051.8636324565928
1063,3047.854693140794
1064,2931.0943355681625
1065,2801.304925219185
1066,2968.427582946536
1067,2944.1233883445075
1068,3033.3222881210245
1069,2937.3583032490974
1070,2867.953541344336
1071,2701.0814423242223
1072,2768.481734571085
1073,2666.754899432697
1074,2429.4758036788726
1075,2522.182525356713
1076,2377.109033866254
1077,2444.7598848203543
1078,2252.3307976620254
1079,2368.0889204057075
1080,2244.0623603231907
1081,2138.577144576242
1082,2354.5587502148874
1083,2455.283350524325
1084,2511.1579422382674
1085,2489.8604521230877
1086,2542.4777806429433
1087,2512.410735774454
1088,2370.5945074780816
1089,2434.737536530858
1090,2388.6347343991747
1091,2570.2897971462953
1092,2612.38365996218
1093,2664.750429774798
1094,2717.1171995874165
1095,2690.557976620251
1096,2769.9850868145095
1097,2709.600438370294
1098,2719.3722279525527
1099,2787.023078906653
1100,2755.202123087502
1101,2674.7727780642945
1102,2735.407985215747
1103,2728.3923414130995
1104,2766.4772649131855
1105,2814.0834192882926
1106,2802.307160048135
1107,2879.4792418772563
1108,2832.3742049166235
1109,2755.953799209214
1110,2767.7300584493723
1111,2796.5443097816747
1112,2783.0141395908545
1113,2804.812747120509
1114,2855.9267233969404
1115,2864.445719443012
1116,2811.577832215919
1117,2735.6585439229843
1118,2766.4772649131855
1119,2779.506317689531
1120,2895.013881725976
1121,2866.199630393674
1122,2903.28231906481
1123,2884.239857314767
1124,2880.2309179989684
1125,2923.828133058277
1126,2925.331485301702
1127,2957.4029998280903
1128,2969.6803764827227
1129,2970.4320526044353
1130,2987.7206034038163
1131,2998.494627815025
1132,3060.382628502665
1133,3033.8234055354997
1134,3124.024540140966
1135,3157.5994069107787
1136,3149.080410864707
1137,3138.055827746261
1138,2956.150206291903
1139,2959.407469485989
1140,2986.9689272821042
1141,3047.604134433557
1142,3044.3468712394706
1143,3040.839049338147
1144,3045.0985473611827
1145,3047.604134433557
1146,3073.41168127901
1147,2997.7429516933125
1148,3011.0225631768953
1149,2953.644619219529
1150,2973.1881983840467
1151,3027.308879147327
1152,3059.1298349664776
1153,3071.407211621111
1154,3060.633187209902
1155,3109.742693828434
1156,3089.1968798349667
1157,3099.4697868317003
1158,3084.1857056902186
1159,3115.756102802132
1160,3107.7382241705345
1161,3123.7739814337287
1162,3164.615050713426
1163,3150.8343218153686
1164,3168.3734313219875
1165,3192.1765085095412
1166,3195.6843304108647
1167,3211.2189702595842
1168,3171.129577101599
1169,3149.330969571944
1170,3177.1429860752964
1171,3160.35555269039
1172,3197.4382413615267
1173,3182.905836341757
1174,3192.1765085095412
1175,3237.527634519512
1176,3237.2770758122742
1177,3261.330711707066
1178,3284.6326714801444
1179,3288.140493381468
1180,3296.9100481347778
1181,3281.876525700533
1182,3323.970388516417
1183,3314.950275055871
1184,3306.681837717036
1185,3325.473740759842
1186,3332.4893845624892
1187,3323.218712394705
1188,3330.7354736118273
1189,3336.9994412927626
1190,3368.3192796974386
1191,3384.355036960633
1192,3417.6793450232076
1193,3434.967895822589
1194,3452.0058879147327
1195,3452.0058879147327
1196,3465.536058105553
1197,3529.428528451092
1198,3391.6212394705176
1199,3374.332688671136
1200,3378.84274540141
1201,3292.1494326972665
1202,3355.5407856283305
1203,3296.158372013065
1204,3288.140493381468
1205,3338.0016761217125
1206,3338.502793536187
1207,3342.0106154375108
1208,3294.4044610624037
1209,3268.847472924188
1210,3210.4672941378717
1211,3261.080152999828
1212,3192.677625924016
1213,3188.919245315455
1214,3242.2882499570223
1215,3300.1673113288634
1216,3284.1315540656697
1217,3302.4223396940006
1218,3316.2030685920577
1219,3305.1784854736115
1220,3351.5318463125323
1221,3312.695246690734
1222,3367.567603575726
1223,3392.3729155922297
1224,3420.4354908028195
1225,3486.3324308062574
1226,3468.5427625924017
1227,3445.7419202337974
1228,3434.967895822589
1229,3440.2296286745745
1230,3377.3393931579853
1231,3403.8986161251505
1232,3390.117887227093
1233,3404.9008509541
1234,3410.9142599277975
1235,3339.003910950662
1236,3348.274583118446
1237,3237.7781932267494
1238,3271.102501289324
1239,3201.9482980918
1240,3241.7871325425476
1241,3327.478210417741
1242,3393.876267835654
1243,3456.2653859377688
1244,3465.285499398315
1245,3540.703670276775
1246,3501.365953240502
1247,3520.658973697782
1248,3477.0617586384733
1249,3544.7126095925737
1250,3571.021273852501
1251,3561.7506016847174
1252,3533.6880264741276
1253,3536.6947309609764
1254,3521.9117672339694
1255,3532.4352329379403
1256,3585.5536788722707
1257,3585.5536788722707
1258,3574.2785370465876
1259,3593.571557503868
1260,3571.5223912669762
1261,3615.62072374076
1262,3624.139719786832
1263,3621.1330152999826
1264,3651.450618875709
1265,3638.6721248066015
1266,3657.965145263882
1267,3628.900335224342
1268,3627.3969829809184
1269,3618.376869520371
1270,3607.101727694688
1271,3647.4416795599104
1272,3664.7302303592915
1273,3676.5064895994497
1274,3653.7056472408462
1275,3642.4305054151623
1276,3640.6765944645003
1277,3660.4707323362554
1278,3657.7145865566445
1279,3693.2939229843564
1280,3689.0344249613204
1281,3690.7883359119824
1282,3703.56682998109
1283,3655.710116898745
1284,3686.027720474471
1285,3710.833032490975
